size,time_us
5,222
7,296
9,476
11,807
13,1202
15,1771
17,3594
19,4333
21,5576
23,7210
25,9146
27,11223
29,13651
31,16511
33,19811
35,23353
37,27331
39,31792
41,36893
43,42260
45,48208
48,58218
51,69487
54,82199
57,96607
60,112056
63,129323
66,148456
69,169262
72,191989
75,216409
78,243261
81,272380
84,303232
87,336135
90,372076
93,410268
96,450916
99,493888
102,539975
105,588797
109,658113
113,732717
117,812633
121,898299
125,989577
129,1005039
133,1100553
137,1201174
141,1309143
145,1422308
149,1542922
153,1669598
157,1802838
161,1943420
165,2090787
